epoch,acc,loss,val_acc,val_loss
0,0.008138564395063708,0.08549823937335134,0.0007921077384541494,0.040115109759233616
1,0.008931552720736582,0.06682800200790359,0.0007921077384541494,0.03554804500295909
2,0.009474123680407495,0.06355675376130762,0.0007921077384541494,0.04870760360390278
3,0.008931552723846173,0.06246491100198709,0.0007921077384541494,0.0409991706987663
4,0.009098497634514147,0.060987213133828086,0.0007921077384541494,0.06247012287063712
5,0.009140233859071548,0.06046718065535575,0.0007921077384541494,0.036539161046503496
6,0.009599332363408476,0.05840396066312872,0.0007921077384541494,0.04644009640955298
7,0.009682804821852053,0.05594297305116032,0.0007921077384541494,0.037744317561915194
8,0.009682804818742462,0.054913799799391795,0.0007921077384541494,0.0646569193115355
9,0.00976627727407645,0.05350275791191087,0.0007921077384541494,0.057464762067958385
0,0.009599332363408476,0.05520292516632195,0.0,0.038330434468807656
1,0.009891485963296611,0.049100077474619634,0.0,0.02926734401669819
2,0.009682804818742462,0.04997246587625277,0.0,0.035855452961404806
3,0.009599332363408476,0.055645210264100596,0.0,0.04823398552834988
4,0.009641068591075469,0.051783655748744564,0.0,0.03143247075291583
5,0.009682804818742462,0.0535305719185179,0.0,0.049122190852067434
6,0.009557596135741482,0.05130838545098378,0.0,0.03907381288066972
7,0.009808013501743443,0.05171677102799293,0.0,0.04649613557616249
8,0.009641068591075469,0.04868771134145349,0.0,0.04743712973897345
9,0.010058430870854994,0.04648002778130968,0.0,0.028824230752652513
10,0.009808013501743443,0.048665972845356766,0.0,0.033577646449557505
11,0.009307178769739521,0.057655878587764296,0.0,0.04355953570018755
12,0.009682804818742462,0.049059227735538016,0.0,0.061662908231082836
13,0.009641068591075469,0.04736647487463327,0.0,0.04699421664117835
14,0.009849749729410436,0.04931791046840715,0.0,0.043105629351339304
15,0.009849749729410436,0.04785566494154133,0.0,0.03738203915650956
16,0.00989148595707743,0.045930687839341025,0.0,0.054611869166838
17,0.009974958415521007,0.047765580527383354,0.0,0.03796397203514061
18,0.009682804818742462,0.048865886684779224,0.0,0.036016010486637245
19,0.009933222184744423,0.04602153278848013,0.0,0.06050060558482073
20,0.009933222184744423,0.048844488056801035,0.0,0.041188196933362634
21,0.009849749729410436,0.04770217272542411,0.0,0.03912638611043803
22,0.009682804824961646,0.04436517799945971,0.0,0.05825187746318988
23,0.00989148595707743,0.04363568693387574,0.0,0.033465668345306766
24,0.010100167095412395,0.042109145284867464,0.0,0.03547048900858499
25,0.009849749729410436,0.0437292232448686,0.0,0.04394994928268716
26,0.009849749729410436,0.044451947147702994,0.0,0.04463916332373628
27,0.009808013504853033,0.04567010696669916,0.0,0.03539635439316044
28,0.009724541046409456,0.044612830575906946,0.0,0.03570774142048322
29,0.009808013501743443,0.042281746018315684,0.0,0.041972263255738655
30,0.009849749729410436,0.04284869733430564,0.0,0.053544359230436385
31,0.010183639550746382,0.04275061150296406,0.0,0.04294244668722968
32,0.009933222184744423,0.04353136656796544,0.0,0.027203566216048785
33,0.00989148595707743,0.041860417913678935,0.0,0.043086125063709915
34,0.01001669464007841,0.04121900538597893,0.0,0.0477400044928072
35,0.009808013501743443,0.043962722159793854,0.0,0.04262877478467999
36,0.010267112006080369,0.042746700081571574,0.0,0.0431881158403121
37,0.010183639556965565,0.04424711140685051,0.0,0.03973795163736213
38,0.00989148596018702,0.04260548749042267,0.0,0.03846486007445492
39,0.010058430867745403,0.04145924459051773,0.0,0.04318131126812659
40,0.00989148595707743,0.042682158620211796,0.0,0.036793976689514236
41,0.009849749732520027,0.04187499227772664,0.0,0.048048585060168986
42,0.009933222184744423,0.04087272927515638,0.0,0.0357620699913241
43,0.010183639553855975,0.04126211644254488,0.0,0.03347557984292507
44,0.010058430867745403,0.04056283772766795,0.0,0.02893486778746592
45,0.00989148595707743,0.042958196825526644,0.0,0.032732918249093926
46,0.009682804818742462,0.04143046456752952,0.0,0.03477956763410475
47,0.010183639550746382,0.040172218856439054,0.0,0.029807462492608464
48,0.01001669464007841,0.041630595997974855,0.0,0.03507905009581009
49,0.009557596145070256,0.04103966517257698,0.0,0.03232931547740009
